id,carat,cut,color,clarity,depth,table,x,y,z,price
182129,0.5,Ideal,G,VS2,61.0,55.0,5.14,5.17,3.14,1443
133342,0.7,Ideal,G,IF,62.7,57.0,5.65,5.68,3.55,3107
68028,1.51,Very Good,D,SI2,60.9,57.0,7.48,7.38,4.51,9965
67848,0.9,Very Good,H,VS1,62.1,58.0,6.15,6.21,3.84,4182
32338,0.37,Premium,E,SI1,61.8,58.0,4.61,4.63,2.84,678
114407,0.31,Ideal,E,VS2,62.4,54.0,4.3,4.33,2.69,642
48972,0.31,Ideal,G,IF,61.7,56.0,4.36,4.39,2.7,924
169379,0.56,Ideal,I,IF,61.7,56.0,5.27,5.3,3.26,1949
107348,2.14,Ideal,H,SI1,62.3,56.0,8.23,8.26,5.14,16240
69910,0.71,Very Good,E,VS2,62.9,58.0,5.65,5.62,3.54,2562
110039,0.51,Ideal,G,VS1,62.0,56.0,5.15,5.18,3.2,1694
88002,1.12,Ideal,G,VVS2,62.4,56.0,6.65,6.68,4.16,8005
89594,0.71,Ideal,G,VS2,60.2,57.0,5.77,5.81,3.49,2638
81766,1.06,Ideal,E,VVS2,61.1,56.0,6.62,6.55,4.02,11156
61239,0.9,Good,H,VS1,59.3,62.0,6.14,6.21,3.67,3964
3663,0.53,Ideal,E,SI1,61.8,56.0,5.21,5.16,3.2,1612
26452,1.25,Premium,H,VS1,60.0,60.0,7.01,6.97,4.2,7459
53245,0.32,Ideal,E,VS2,61.3,55.0,4.45,4.46,2.73,639
100450,0.71,Good,G,VS1,63.2,59.0,5.65,5.68,3.58,2542
20275,0.32,Very Good,I,SI1,63.1,57.0,4.35,4.38,2.76,574
53841,0.3,Premium,E,VS2,62.6,60.0,4.28,4.24,2.67,844
90203,0.71,Very Good,E,VS2,60.5,58.0,5.77,5.8,3.5,2980
18324,0.71,Premium,G,SI2,59.9,61.0,5.83,5.8,3.49,2147
38531,1.21,Premium,G,VS1,62.4,58.0,6.8,6.76,4.23,8149
96706,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.45,2.72,879
137274,1.5,Premium,E,VS1,62.2,61.0,7.21,7.16,4.46,13678
35283,1.7,Ideal,G,VS2,61.0,59.0,7.63,7.7,4.69,13299
148083,0.9,Premium,E,SI2,62.0,58.0,6.15,6.21,3.83,3528
192765,0.3,Premium,G,VVS2,61.6,58.0,4.31,4.29,2.65,761
53160,0.51,Premium,F,VS1,59.4,58.0,5.22,5.3,3.13,1671
130639,0.7,Ideal,E,SI2,61.9,57.0,5.68,5.72,3.53,2573
159168,0.52,Ideal,F,VS2,61.8,55.0,5.17,5.19,3.2,1761
48598,2.11,Very Good,G,SI1,60.2,59.0,8.35,8.3,5.08,18188
163071,0.34,Very Good,H,VS2,62.6,57.0,4.43,4.48,2.79,537
168866,0.51,Good,E,SI1,63.4,58.0,5.11,5.06,3.22,1393
158044,0.5,Premium,E,SI1,62.3,58.0,5.06,5.09,3.16,1250
31725,1.0,Premium,G,SI2,62.0,58.0,6.38,6.34,3.93,3871
9396,1.0,Good,G,VVS1,61.1,62.0,6.36,6.42,3.9,7862
35786,0.24,Very Good,D,VVS2,62.3,55.0,4.01,4.03,2.5,478
36295,1.24,Premium,F,VS1,62.3,58.0,6.9,6.84,4.29,10336
22864,0.71,Premium,H,VS2,61.1,58.0,5.75,5.78,3.52,2599
146439,1.0,Ideal,E,VS2,61.9,58.0,6.4,6.44,3.97,6505
65004,1.01,Very Good,E,IF,63.8,57.0,6.45,6.41,4.1,11500
193293,1.01,Premium,E,SI2,61.8,58.0,6.36,6.37,3.94,4525
70290,2.2,Premium,J,VS2,61.8,58.0,8.38,8.34,5.18,13744
159494,0.57,Ideal,G,VS2,61.7,55.0,5.34,5.38,3.31,1743
12900,2.02,Good,J,SI1,63.5,62.0,7.84,7.88,5.03,11189
172152,1.01,Premium,G,VS2,62.1,59.0,6.37,6.43,3.97,5787
63292,0.71,Premium,E,VS2,60.2,59.0,5.76,5.83,3.48,2949
179286,0.72,Ideal,E,SI2,62.9,57.0,5.73,5.69,3.59,2210
1298,0.55,Premium,G,SI1,62.5,58.0,5.26,5.22,3.27,1349
132739,0.71,Ideal,I,SI1,61.7,57.0,5.73,5.76,3.54,2232
185446,1.05,Ideal,G,VS2,62.4,57.0,6.43,6.5,4.03,6296
140618,0.53,Ideal,F,SI1,60.6,57.0,5.27,5.23,3.18,1571
186949,0.93,Premium,G,SI1,59.0,58.0,6.38,6.32,3.75,3838
28683,1.59,Ideal,E,SI2,61.3,56.0,7.59,7.56,4.64,10954
147694,0.9,Ideal,G,SI2,60.9,56.0,6.25,6.22,3.8,3808
68674,0.91,Good,F,SI1,60.3,61.0,6.26,6.22,3.76,4436
8357,0.8,Premium,G,VS2,61.5,60.0,5.95,5.98,3.66,3457
20057,0.54,Very Good,E,VS1,63.7,58.0,5.1,5.11,3.25,1637
91913,0.77,Premium,G,VS1,62.0,55.0,5.9,5.86,3.64,3071
92884,0.54,Ideal,E,SI1,61.7,55.0,5.2,5.23,3.22,1639
156743,0.52,Ideal,G,VS1,60.7,57.0,5.18,5.23,3.14,1745
103403,1.26,Very Good,H,SI1,61.9,58.0,6.95,6.9,4.29,6912
134848,1.1,Very Good,E,SI2,60.0,57.0,6.74,6.66,4.03,5656
69466,0.95,Ideal,J,SI1,62.6,57.0,6.28,6.31,3.94,3199
161136,0.3,Very Good,G,VVS2,62.5,56.0,4.28,4.3,2.68,819
111345,0.32,Ideal,E,VS2,61.7,57.0,4.4,4.38,2.71,702
148252,1.01,Good,E,I1,63.1,58.0,6.34,6.41,4.01,3669
8315,0.41,Ideal,F,VVS2,61.9,56.0,4.74,4.79,2.95,994
56666,1.0,Ideal,F,VVS2,62.3,56.0,6.4,6.45,4.02,9424
167532,0.51,Very Good,H,VS1,62.3,61.0,5.05,5.12,3.17,1438
173178,0.61,Premium,E,VS1,62.7,55.0,5.43,5.39,3.39,2192
78386,0.71,Ideal,D,VS1,60.9,59.0,5.74,5.77,3.51,3670
87355,0.57,Ideal,G,SI1,62.4,57.0,5.3,5.34,3.32,1308
185072,1.07,Premium,E,VS2,62.4,58.0,6.54,6.49,4.06,6750
146565,0.3,Premium,E,SI1,62.9,59.0,4.25,4.3,2.69,590
66213,0.53,Ideal,H,VS2,61.2,56.0,5.22,5.25,3.21,1551
90662,0.55,Ideal,F,VVS2,61.6,57.0,5.25,5.28,3.24,2267
45494,1.0,Premium,E,SI2,62.4,60.0,6.36,6.31,3.96,4238
147238,0.9,Ideal,F,SI1,61.5,57.0,6.18,6.2,3.79,4153
128253,0.37,Ideal,D,VVS2,61.2,56.0,4.61,4.64,2.83,827
69530,1.15,Ideal,G,VS2,62.4,55.0,6.72,6.67,4.18,6927
39242,0.32,Premium,D,VS2,61.4,60.0,4.4,4.43,2.71,803
88322,0.6,Very Good,G,VS2,60.8,58.0,5.44,5.51,3.32,1646
95209,0.3,Ideal,E,VVS2,62.8,56.0,4.28,4.3,2.7,874
157803,0.31,Ideal,I,VS2,61.5,56.0,4.34,4.38,2.68,469
190992,0.51,Very Good,F,SI1,62.6,56.0,5.07,5.1,3.18,1312
150642,0.9,Very Good,G,SI1,64.0,55.0,6.1,6.06,3.89,3656
105136,1.01,Premium,D,SI1,61.4,58.0,6.42,6.45,3.95,5647
62524,0.5,Ideal,E,SI2,61.8,57.0,5.09,5.11,3.15,1250
148703,0.3,Ideal,G,IF,62.1,55.0,4.34,4.3,2.68,956
71251,0.58,Ideal,D,VS2,62.0,54.0,5.36,5.39,3.33,1889
96587,0.36,Premium,D,VS1,62.1,58.0,4.63,4.6,2.87,1094
80852,0.34,Ideal,H,VS1,61.6,55.0,4.54,4.49,2.78,679
177024,0.55,Ideal,H,VVS2,62.9,57.0,5.23,5.21,3.28,1770
59551,0.43,Premium,H,VS1,62.3,58.0,4.81,4.76,2.98,1113
137462,0.3,Premium,H,SI1,62.7,58.0,4.29,4.27,2.67,540
173201,1.15,Ideal,D,SI2,62.5,56.0,6.75,6.69,4.18,5645
95784,0.41,Premium,G,VVS2,62.1,58.0,4.75,4.76,2.95,965
161452,0.85,Good,H,SI1,61.8,60.0,6.03,6.08,3.74,2907
104671,0.4,Ideal,G,IF,61.0,57.0,4.75,4.79,2.91,1272
109047,1.02,Very Good,H,SI2,63.4,59.0,6.37,6.42,4.05,4356
17121,0.3,Ideal,G,IF,61.9,55.0,4.29,4.31,2.67,834
61691,0.4,Ideal,H,VVS1,61.8,56.0,4.72,4.76,2.93,975
165430,1.26,Ideal,H,SI1,60.8,55.0,7.01,6.98,4.25,7219
7035,0.32,Ideal,E,VS2,62.6,56.0,4.37,4.4,2.74,702
116036,0.42,Ideal,G,VS2,62.0,56.0,4.84,4.82,2.99,847
6860,0.23,Very Good,E,VVS1,62.0,59.0,3.92,3.95,2.44,530
24539,0.52,Ideal,E,VS2,62.4,57.0,5.13,5.15,3.2,1590
124396,0.61,Very Good,D,SI1,64.1,55.0,5.3,5.43,3.45,1816
131817,0.4,Very Good,D,VS1,60.3,56.0,4.76,4.78,2.88,1179
147170,0.32,Premium,D,SI1,61.7,58.0,4.39,4.35,2.7,709
23668,0.32,Ideal,D,VS2,61.8,56.0,4.43,4.4,2.73,972
43070,0.37,Good,I,IF,63.4,55.0,4.6,4.64,2.93,739
8949,0.31,Premium,G,VVS1,61.8,58.0,4.38,4.36,2.7,863
77993,0.41,Premium,E,VS1,62.3,58.0,4.75,4.72,2.95,1153
178740,0.72,Ideal,I,SI2,62.0,57.0,5.76,5.74,3.57,2119
104352,1.01,Good,J,SI1,64.0,60.0,6.26,6.24,4.0,3679
51719,0.35,Premium,F,SI2,60.4,58.0,4.54,4.57,2.75,537
160300,1.25,Premium,I,VS2,61.6,59.0,6.88,6.94,4.26,5882
119901,0.3,Ideal,D,SI1,62.3,57.0,4.29,4.34,2.68,552
56801,1.08,Very Good,D,VS1,60.9,58.0,6.57,6.63,4.02,9972
82419,1.53,Ideal,G,VS1,61.8,54.0,7.39,7.43,4.57,14171
114321,0.59,Ideal,E,VS1,62.5,55.0,5.36,5.39,3.36,2306
62739,1.01,Ideal,F,SI2,61.1,57.0,6.44,6.51,3.96,4337
166662,0.31,Ideal,H,SI1,62.4,54.0,4.37,4.38,2.73,462
189673,0.37,Ideal,E,VS1,62.0,55.0,4.62,4.58,2.85,984
20918,1.07,Ideal,G,VVS2,60.6,57.0,6.55,6.61,3.99,7747
169212,0.56,Ideal,E,VVS2,61.7,54.0,5.25,5.27,3.25,2394
166933,1.51,Premium,G,SI1,62.1,59.0,7.36,7.31,4.56,10498
53260,0.71,Ideal,E,SI1,59.8,57.0,5.79,5.81,3.47,2488
117413,1.51,Ideal,I,VS1,62.1,57.0,7.33,7.28,4.55,10291
114084,0.3,Ideal,G,VVS1,62.2,57.0,4.27,4.3,2.67,790
95944,0.33,Ideal,G,IF,62.5,54.0,4.42,4.46,2.78,917
187642,0.7,Premium,G,SI1,62.1,62.0,5.64,5.62,3.49,2370
15384,0.32,Premium,D,VVS2,62.1,58.0,4.4,4.37,2.72,683
175452,1.22,Ideal,J,VS2,61.4,57.0,6.88,6.84,4.21,5889
172815,0.52,Very Good,E,VS1,59.3,63.0,5.18,5.22,3.1,1846
167538,1.21,Very Good,I,SI2,59.9,57.0,6.9,6.97,4.16,4405
409,2.0,Very Good,H,SI1,63.4,59.0,8.01,7.93,5.05,15874
130373,1.62,Very Good,H,VS2,60.6,57.0,7.61,7.65,4.62,12265
78192,0.39,Ideal,E,VS2,62.2,57.0,4.69,4.66,2.9,791
48718,0.7,Very Good,I,VS2,62.8,58.0,5.64,5.59,3.53,2270
178844,1.22,Very Good,H,SI1,61.9,58.0,6.82,6.84,4.23,6323
55025,1.33,Ideal,H,VS2,60.8,56.0,7.1,7.05,4.28,8504
67124,0.3,Ideal,G,SI1,62.0,55.0,4.31,4.33,2.68,447
117155,0.35,Very Good,F,VS2,63.0,56.0,4.46,4.49,2.83,706
106785,0.53,Ideal,G,VVS2,62.2,56.0,5.15,5.18,3.21,1818
168257,1.21,Premium,H,SI1,60.6,60.0,6.91,6.85,4.16,6066
182742,0.52,Very Good,G,IF,60.2,56.0,5.26,5.29,3.18,2095
157350,2.01,Very Good,J,SI1,59.8,61.0,8.14,8.17,4.88,14812
184460,0.93,Very Good,E,SI1,62.8,57.0,6.19,6.24,3.9,4010
55777,0.51,Ideal,G,SI1,61.9,56.0,5.13,5.17,3.19,1170
165061,0.27,Very Good,D,VVS2,61.2,60.0,4.17,4.22,2.57,754
129740,0.53,Very Good,E,VS2,61.3,56.0,5.2,5.24,3.2,1687
101496,0.91,Premium,I,SI2,61.7,58.0,6.18,6.23,3.83,2965
153224,0.31,Very Good,D,SI2,62.7,54.0,4.31,4.34,2.71,462
135235,0.4,Ideal,G,VVS1,62.8,56.0,4.71,4.7,2.95,1235
11299,0.71,Ideal,D,SI1,60.6,57.0,5.78,5.82,3.51,3054
35258,0.41,Ideal,D,VVS1,61.8,57.0,4.78,4.82,2.96,1438
5014,0.3,Very Good,G,SI1,62.1,62.0,4.3,4.25,2.65,574
150650,2.12,Premium,G,SI2,62.3,59.0,8.22,8.15,5.1,15312
140838,1.03,Ideal,G,VS1,62.1,57.0,6.5,6.46,4.02,7368
66192,0.32,Ideal,G,VVS1,62.3,57.0,4.37,4.4,2.73,789
143986,1.26,Very Good,I,SI1,60.4,60.0,6.99,7.04,4.22,6313
189117,1.24,Premium,J,VS2,61.5,58.0,6.98,6.91,4.27,5015
50082,0.32,Premium,D,VS2,61.7,59.0,4.39,4.34,2.69,972
112860,1.51,Fair,J,VS1,64.9,56.0,7.2,7.16,4.65,7730
114024,0.9,Very Good,F,SI1,62.0,61.0,6.13,6.16,3.81,3774
145570,2.14,Ideal,H,SI2,61.1,59.0,8.34,8.29,5.09,15680
151742,2.11,Premium,F,SI2,61.0,60.0,8.29,8.33,5.06,14067
115873,0.9,Ideal,H,SI2,63.0,56.0,6.13,6.15,3.87,3283
22258,0.72,Ideal,I,VS2,63.5,56.0,5.69,5.72,3.62,2201
102823,0.31,Ideal,H,IF,61.9,55.0,4.35,4.36,2.7,949
16804,0.91,Ideal,J,VS2,62.2,54.0,6.18,6.22,3.85,3555
86146,1.21,Ideal,E,VS1,62.3,55.0,6.85,6.88,4.27,12771
115849,0.32,Very Good,H,VS2,62.6,57.0,4.36,4.39,2.74,505
53828,0.32,Good,F,SI1,63.7,56.0,4.38,4.36,2.78,647
2965,0.52,Ideal,F,VS2,62.2,56.0,5.15,5.18,3.22,1654
74272,0.7,Very Good,E,VS2,62.9,62.0,5.59,5.57,3.5,1778
163434,0.33,Ideal,H,VVS2,61.7,55.0,4.42,4.46,2.74,666
176497,0.43,Premium,E,SI2,60.1,60.0,4.93,4.89,2.95,681
129615,1.52,Very Good,E,SI1,63.1,56.0,7.28,7.34,4.59,11688
134178,0.54,Ideal,F,VS2,62.0,56.0,5.24,5.2,3.23,1573
